Quel canal d'une longueur de 193 kilomètres sépare le Sinaï du reste de l'Égypte en reliant la mer Méditerranée à la mer Rouge?,Le Canal de Suez
Quel sommet du massif de Karakoram situé sur la frontière entre la Chine et le Pakistan est le deuxième plus élevé du monde après le mont Everest?,Le K2
Près de quelle ville américaine surnommée Bean Town et capitale de l'état du Massachussetts est située l'université Harvard?,Boston
Quel œuvre de Vivaldi datant de 1725 est composée de quatre concertos pour violons?,Les Quatre saisons
Quelle civilisation précolombienne conquise par les conquistadors de Francisco Piizarro à partir de 1532 habitait le long du Pacifique et de la cordillère des Andes en Amérique du Sud?,La civilisation Inca
Quel explorateur vénitien dont les récits de voyage le rendront immensément célèbre atteignit la Mongolie via la Route de la Soie en 1274 ?,Marco Polo
Quel ancien journaliste et homme d'État italien saisit le pouvoir dans son pays en 1922 dans lequel il instaura un régime fasciste jusqu'en 1943?,Benito Mussolini
À quel écrivain français né en France d'un père originaire d'Haïti doit-on les romans Le Comte de Monte-Cristo et Les Trois Mousquetaires?,Alexandre Dumas
Quelle pièce de théâtre présentée pour la première fois en 1598 raconte l'histoire de deux jeunes amants dont la mort réconcilie deux familles rivales appelées Montaigu et Capulet?,Roméo et Juliette
"Comme dans le titre d'une chanson des Cowboys Fringants, quel nom donne-t-on à la position mi-hauteur à laquelle on met un drapeau sur son mât suite à un deuil national ou une tragédie?",En berne
Quelle invention a mis fin à la préhistoire?,L'écriture
À quel Allemand attribue-t-on l'invention de l'imprimerie?,Johannes GUTENBERG
"Disparaissant peu à peu suite à l'activité humaine, quelle mer fermée est située entre le Kazakhstan et l'Ouzbékistan ?",mer Aral
"Nommée d’aprèsr un ancien gouverneur du Canada, quel nom porte la grande terrasse en bois adjacente au Château Frontenac à Québec?",Terrasse DUFFERIN
"Également le nom d’une ville d’Écosse, quel est le nom de l’échelle qui mesure l’état de conscience d’une personne",Échelle de Glasgow
Dans quel pays asiatique se déroule l’action de Madame Butterfly de Puccini?,Japon
Comment se nommait la mission spatiale qui permet à Neil Armstrong et Buzz Aldrin de marcher sur la lune?,Apollo 11
"En 1867, dans quelle ville est ouvert le premier réseau de métro des Etats-Unis, aujourd’hui surnommé le « T »?",Boston
"Quel type d'organisations était particulièrement visé par l'adoption de, la Loi du cadenas de Maurice Duplessis en 1937?",les syndicats
"Qui dirige la Grande-Bretagne entre 1979 et 1990, notamment durant la Guerre des Malouines qui oppose sont pays à l’Argentine?",Margaret Thatcher
"Quel peintre et sculpteur américain, surtout connu pour ses mobiles, a créé la sculpture L’Homme pour l’Exposition Universelle de Montréal?",Alexander Calder
"Quel peintre français né en Russie a peint le plafond de l’Opéra, Garnier à Paris?",Marc Chagall
Quel homme militaire romain est l'auteur de La guerre des Gaules ?,Jules César
Quelle auteure québécoise à écrit plusieurs romans policiers mettant en scène la détective Maud Graham?,Chrystine Brouillette
Quel roman de Louis Hébert racontant l’histoire d’une femme qui doit choisir entre trois hommes a été utilisé comme un outil de propagande pour inciter les québécois à s’installer en campagne?,Maria Chapdelaine
"Selon la croyance populaire, quel Empereur des Francs est la figure représentée par le roi de  coeur dans un jeu de carte?",Charlemagne
Dans les romans de quel homme de lettre soviétique naturalisé américain sont décrites les trois lois de la robotique?,Isaac Asimov
À quel artiste français doit-on plusieurs tableaux représentant la Montagne Sainte-Victoire?,Paul Cézanne
Quel fils adoptif de Jules César devient le premier empereur de Rome?,Auguste ou Octave
Dans quel organe du corps humain retrouve-t-on les atriums et les ventricules?,Le coeur
"Dans la croyance chrétienne, quel animal incite Ève à croquer la pomme qui l'expulsera de l'Éden?",Un serpent
Quelle est la ville de 10 millions d'habitants ou plus étant située la plus au Sud?,Buenos Aires
"Dans quelle région administrative québécoise retrouve-t-on les villes de Malartic, Ville-Marie, Amos et Val-d’Or?",en Abitibi-Temiscamingue
"Dans quelle ville espagnole se situerait le tombeau de l'apôtre Jacques de Zébédée, qui fait depuis le Moyen Âge l'objet d'un important pèlerinage ?",Saint-Jacques-de-COMPOSTELLE
"Quelle nation autochtone est présente dans les communautés de Mingan, de Maliotenam et de Natashquan ainsi que tout au long de la Côte-Nord du Québec ?",les Innus (accepter Montagnais)
"Dans quel pays retrouve-t-on le désert le plus aride au monde, le désert d'Atacama?",au Chili
Quel est le symbole chimique du Mercure?,Hg
"En géologie, comment appelle-t-on le phénomène d'enfoncement d'une plaque tectonique dans le manteau, sous une plaque continentale?",la subduction
Quelle propriété d'un corps lui permet de garder une vitesse constante ou de rester immobile quand aucune force ne lui est appliquée?,l’inertie
Quelle branche de la physique étudie la lumière?,l’optique
D’après quel physicien allemand pionnier de la physique quantique une constante permettant de relier l’énergie d’un photon à sa fréquence est-elle nommée?,Max Planck (accepter la constante de Planck)
Le nom de quelle danse particulièrement populaire dans les années 1930 était-il utilisé pour désigner la musique rock and roll avant que cette expression ne soit inventée?,le foxtrot
À quel chanteur français doit-on les chansons Petite Marie et L’Encre de tes yeux?,à Francis Cabrel
De quelle chanteuse floridienne le Dangerous Woman Tour a-t-il été interrompu en mai 2017 par un attentat à la bombe pendant une prestation à Manchester?,Ariana Grande
"Sous quel nom connait-on mieux le rappeur québécois Emmanuel Dubois, à qui l’on doit les albums Rue des Saules et Love suprême?",Koriass
"Quels deux pays se partagent le plus haut point culminant au monde en raison de leur partage de l’Everest?, R. : Chine et Népal, À quel pays les États-Unis achetèrent-ils la Floride en 1819?",à l’Espagne
"En quelle année eut lieu la destitution de Romulus Augustule, considérée comme la fin de l’Empire romain d’occident et de l’Antiquité?",en 476
"Qui est l’auteur de On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life, lequel met de l’avant ce qu’on appelle aujourd’hui la théorie de l’évolution?",Charles Darwin
Qui était le chef du parti Patriote au Bas-Canada à l’aube des rébellions de 1837-1838?,Louis-Joseph Papineau
"Quelle civilisation, l’une des plus anciennes à encore exister, a connu de grands changements au 20e siècle avec l’instauration d’une république en 1912 et d’une « république populaire » communiste en 1949?",la Chine
"En photographie, comment qualifie-t-on la situation où un éclairage important situé derrière le sujet photographié le rend moins visible?",un contre-jour
Dans quelle ville peut-on visiter le musée national des beaux-arts du Québec?,à Québec
Dans quel musée madrilène peut-on voir Le Jardin des délices de Jérôme Bosch ainsi que Saturne dévorant un de ses fils de Francisco de Goya?,au musée du Prado
"À quel sculpteur doit-on les sculptures nommées L’âge d’airain, La porte de l’enfer et Le penseur?",Auguste Rodin
"Dans quel art ou artisanat est-il question de cabochon, de sertissage et de gemmes?",en joaillerie
"Au football universitaire québécois, quel est le nom de l'équipe de l'Université Bishop's?",les Gaiters
Quel trophée est remis chaque année dans la LNH à l'équipe ayant obtenu le plus de points en saison régulière?,Trophée des PRÉSIDENTS
"Quelle organisation régit mondialement le sport officiellement nommé football association, mais plutôt connu sous le nom de soccer au Québec?",la Fédération Internationale de Football Association ou FIFA
Comment appelle-t-on les méthodes mathématiques de résolution d'un problème suivant un enchaînement déterminé de règles opératoires?,les algorithmes
Quelle compagnie américaine a commercialisé le premier microprocesseur en 1971?,Intel
"À quel inventeur américain doit-on plusieurs innovations techniques dans plusieurs domaines, dont l’harmonica de verre, les lunettes à double foyer et le paratonnerre?",Benjamin Franklin
"Quel genre théâtral a pour but de faire rire, souvent avec des caractéristiques grossières, comme c’est le cas dans celle de Maître Pathelin?",la farce
"Quel dramaturge américain est l’auteur de Cat on a Hot Tin Roof, The Glass Menagerie et A Streetcar Named Desire?",Tennessee Williams
Suite à une représentation de quelle pièce de théâtre Molière est-il mort?,Le Malade imaginaire
"De quelle nationalité sont les auteurs Ryūnosuke Akutagawa, Yukio Mishima et Haruki Murakami?",japonaise ou ils sont japonais
"Quel nom de famille ont en commun la réalisatrice de Lost in Translation, le réalisateur d’Apocalypse Now et Nicolas Cage?",Sofia COPPOLA
Quel film de 2017 nous présente un match de tennis ayant eu lieu entre la tenniswoman Billie Jean King et l’ancien tennisman Bobby Riggs?,Battle of the Sexes
Dans quelle comédie musicale Christine Daaé apprend-t-elle que l’homme mystérieux lui servant de professeur de chant est en fait la personne hantant l’opéra où elle travaille?,The Phantom of the Opera ou Le Fantôme de l’opéra
Quel titre porte le film de zombis de Robin Aubert lancé en 2017 et mettant en vedette Monia Chokri et Marc-André Grondin?,Les Affamés
Quel site Internet fondé par Jimmy Wales et Larry Sanger utilisez-vous probablement pour vos travaux malgré les avertissements de vos enseignants?,Wikipedia
